age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
59,4.0,159937,11.0,9,2.0,12.0,0.0,0.0,1.0,0,0,48,38.0,0
30,4.0,169269,1.0,7,4.0,6.0,2.0,0.0,1.0,0,1721,38,32.0,0
29,2.0,115585,15.0,10,4.0,6.0,1.0,0.0,1.0,0,0,50,38.0,0
20,4.0,109667,15.0,10,4.0,6.0,3.0,0.0,1.0,0,0,16,38.0,0
33,4.0,147430,11.0,9,2.0,1.0,3.0,0.0,0.0,0,0,40,38.0,0
47,6.0,149116,12.0,14,4.0,10.0,1.0,0.0,0.0,0,0,50,38.0,0
34,4.0,145231,11.0,9,2.0,1.0,5.0,0.0,0.0,4064,0,35,38.0,0
42,4.0,124692,11.0,9,2.0,6.0,0.0,0.0,1.0,0,0,40,38.0,0
18,4.0,161245,1.0,7,4.0,8.0,3.0,0.0,1.0,0,0,15,38.0,0
40,4.0,118853,9.0,13,2.0,4.0,0.0,0.0,1.0,0,0,60,38.0,0
20,4.0,111697,15.0,10,4.0,1.0,3.0,0.0,0.0,0,1719,28,38.0,0
35,0.0,129305,11.0,9,2.0,0.0,0.0,0.0,1.0,0,0,40,38.0,0
38,6.0,120985,11.0,9,2.0,3.0,0.0,0.0,1.0,4386,0,35,38.0,0
27,4.0,163127,8.0,11,2.0,1.0,5.0,0.0,0.0,0,0,35,38.0,0
37,4.0,149898,1.0,7,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
27,4.0,124953,11.0,9,4.0,8.0,1.0,0.0,1.0,0,1980,40,38.0,0
26,4.0,142226,9.0,13,0.0,13.0,1.0,0.0,0.0,0,0,40,38.0,0
43,4.0,114580,15.0,10,0.0,1.0,1.0,0.0,0.0,0,0,40,38.0,0
41,6.0,143129,9.0,13,0.0,4.0,1.0,0.0,0.0,0,0,40,38.0,0
41,0.0,155041,11.0,9,4.0,0.0,3.0,0.0,0.0,3418,0,40,38.0,0
53,0.0,135105,9.0,13,0.0,0.0,1.0,0.0,0.0,0,0,50,38.0,0
63,0.0,156158,11.0,9,2.0,0.0,0.0,0.0,1.0,0,0,16,38.0,0
24,4.0,159567,15.0,10,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
41,4.0,138868,9.0,13,4.0,12.0,1.0,0.0,0.0,0,0,40,38.0,0
41,1.0,130760,9.0,13,2.0,13.0,0.0,0.0,1.0,0,0,24,38.0,0
47,4.0,120939,15.0,10,2.0,13.0,0.0,0.0,1.0,0,0,45,38.0,0
19,4.0,164339,11.0,9,4.0,6.0,3.0,0.0,1.0,1055,0,70,38.0,0
18,4.0,140164,1.0,7,4.0,12.0,3.0,0.0,0.0,0,0,40,38.0,0
52,5.0,168539,9.0,13,4.0,4.0,1.0,0.0,1.0,0,0,40,38.0,0
33,4.0,150309,11.0,9,0.0,3.0,1.0,0.0,0.0,0,0,40,38.0,0
25,4.0,122999,15.0,10,4.0,13.0,2.0,0.0,1.0,0,0,40,38.0,0
45,4.0,109434,9.0,13,2.0,10.0,0.0,0.0,1.0,0,0,55,38.0,0
59,4.0,113838,11.0,9,0.0,8.0,1.0,0.0,0.0,0,0,40,38.0,0
64,5.0,115931,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,50,38.0,0
53,2.0,140359,13.0,1,4.0,7.0,1.0,0.0,0.0,0,0,35,38.0,0
66,6.0,167687,11.0,9,2.0,5.0,0.0,0.0,1.0,1409,0,50,38.0,0
25,4.0,159732,15.0,10,4.0,1.0,1.0,0.0,1.0,0,0,42,38.0,0
40,4.0,169262,15.0,10,2.0,4.0,0.0,0.0,1.0,3411,0,50,38.0,0
23,4.0,115458,11.0,9,4.0,14.0,3.0,0.0,1.0,0,0,40,38.0,0
23,4.0,161092,9.0,13,4.0,1.0,3.0,0.0,1.0,0,0,40,38.0,0
20,0.0,119156,15.0,10,4.0,0.0,3.0,0.0,1.0,0,0,20,38.0,0
37,7.0,111275,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,40,38.0,0
45,4.0,155664,11.0,9,4.0,1.0,1.0,0.0,1.0,0,0,44,38.0,0
45,4.0,153141,11.0,9,2.0,1.0,0.0,0.0,1.0,0,0,40,0.0,0
24,4.0,124751,11.0,9,4.0,1.0,3.0,0.0,0.0,0,0,35,38.0,0
34,4.0,113364,15.0,10,2.0,7.0,0.0,0.0,1.0,0,0,40,11.0,0
36,4.0,168170,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,40,32.0,0
20,4.0,117789,11.0,9,4.0,8.0,3.0,0.0,0.0,0,0,40,38.0,0
36,4.0,150042,9.0,13,0.0,10.0,3.0,0.0,0.0,0,0,40,38.0,0
59,4.0,146013,15.0,10,2.0,12.0,0.0,0.0,1.0,4064,0,40,38.0,0
21,4.0,129172,15.0,10,4.0,8.0,1.0,0.0,1.0,2907,0,40,38.0,0
73,6.0,151255,15.0,10,6.0,5.0,1.0,0.0,0.0,0,0,75,38.0,0
31,4.0,137991,15.0,10,1.0,12.0,5.0,0.0,0.0,0,0,20,38.0,0
19,4.0,124464,15.0,10,4.0,7.0,3.0,0.0,1.0,0,0,40,38.0,0
31,4.0,127595,11.0,9,0.0,10.0,1.0,0.0,0.0,0,0,40,38.0,0
65,4.0,111095,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,16,38.0,0
38,4.0,169469,11.0,9,0.0,12.0,1.0,0.0,1.0,0,0,80,38.0,0
20,1.0,163205,8.0,11,4.0,1.0,3.0,0.0,0.0,0,0,36,38.0,0
63,4.0,156120,4.0,3,4.0,9.0,1.0,0.0,0.0,0,0,50,0.0,0
22,4.0,143062,15.0,10,4.0,5.0,3.0,0.0,1.0,0,0,12,38.0,0
53,2.0,139671,15.0,10,2.0,4.0,0.0,0.0,1.0,0,0,50,38.0,0
77,6.0,138714,15.0,10,2.0,12.0,0.0,0.0,1.0,0,0,40,38.0,0
62,4.0,159841,11.0,9,6.0,8.0,1.0,0.0,0.0,0,0,24,38.0,0
30,4.0,113453,12.0,14,2.0,10.0,5.0,0.0,0.0,0,0,30,38.0,0
54,4.0,162238,11.0,9,6.0,14.0,1.0,0.0,1.0,0,0,45,38.0,0
66,4.0,127921,11.0,9,4.0,14.0,1.0,0.0,1.0,2050,0,55,38.0,0
26,4.0,113587,0.0,6,0.0,7.0,3.0,0.0,1.0,0,0,35,38.0,0
30,0.0,151989,8.0,11,0.0,0.0,4.0,0.0,0.0,0,0,40,38.0,0
52,4.0,120914,15.0,10,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
31,4.0,156464,9.0,13,4.0,10.0,3.0,0.0,1.0,0,0,25,38.0,0
21,4.0,151158,15.0,10,4.0,10.0,1.0,0.0,0.0,0,0,25,38.0,0
73,0.0,145748,11.0,9,2.0,0.0,0.0,0.0,1.0,0,0,8,38.0,0
35,4.0,116369,11.0,9,4.0,3.0,1.0,0.0,1.0,0,0,40,38.0,0
26,6.0,117125,6.0,5,2.0,3.0,0.0,0.0,1.0,0,0,40,31.0,0
25,6.0,121285,9.0,13,4.0,12.0,1.0,0.0,0.0,0,0,40,38.0,0
42,4.0,111949,11.0,9,2.0,1.0,5.0,0.0,0.0,0,0,35,38.0,0
28,6.0,147951,8.0,11,2.0,5.0,0.0,0.0,1.0,0,0,80,38.0,0
46,4.0,108699,15.0,10,0.0,12.0,1.0,0.0,0.0,0,0,40,38.0,0
36,2.0,117312,15.0,10,2.0,14.0,5.0,0.0,0.0,0,0,40,38.0,0
29,4.0,134152,11.0,9,5.0,7.0,1.0,0.0,1.0,0,0,40,38.0,0
59,4.0,128829,11.0,9,0.0,8.0,1.0,0.0,0.0,0,0,40,38.0,0
50,5.0,155965,15.0,10,2.0,12.0,0.0,0.0,1.0,0,0,55,38.0,0
44,4.0,115562,15.0,10,2.0,13.0,0.0,0.0,1.0,0,0,40,38.0,0
67,7.0,168224,9.0,13,2.0,4.0,0.0,0.0,1.0,0,0,40,38.0,0
20,0.0,137300,11.0,9,4.0,0.0,2.0,0.0,0.0,0,0,35,38.0,0
28,4.0,108574,15.0,10,4.0,8.0,1.0,0.0,0.0,0,0,40,38.0,0
28,4.0,110145,11.0,9,2.0,1.0,0.0,0.0,1.0,0,0,40,38.0,0
51,4.0,128338,5.0,4,2.0,10.0,0.0,0.0,1.0,0,0,40,38.0,0
52,4.0,163051,2.0,8,2.0,7.0,0.0,0.0,1.0,0,1628,40,38.0,0
33,4.0,118500,15.0,10,0.0,4.0,4.0,0.0,0.0,0,0,40,38.0,0
39,4.0,130007,15.0,10,0.0,3.0,4.0,0.0,1.0,0,0,40,38.0,0
31,4.0,166248,11.0,9,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
55,6.0,126840,15.0,10,0.0,7.0,1.0,0.0,1.0,0,0,40,38.0,0
25,4.0,133373,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,60,38.0,0
71,0.0,113445,4.0,3,2.0,0.0,0.0,0.0,1.0,0,0,10,38.0,0
34,2.0,117018,15.0,10,4.0,11.0,1.0,0.0,0.0,0,0,40,38.0,0
22,4.0,119474,11.0,9,4.0,12.0,3.0,0.0,0.0,1055,0,25,38.0,0
60,0.0,164730,9.0,13,2.0,0.0,0.0,0.0,1.0,0,0,40,38.0,0
20,4.0,146538,11.0,9,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
32,0.0,115745,15.0,10,2.0,0.0,0.0,0.0,1.0,0,0,40,38.0,0
44,4.0,116632,7.0,12,4.0,5.0,3.0,0.0,1.0,0,0,40,38.0,0
27,4.0,169557,11.0,9,0.0,7.0,1.0,0.0,1.0,6849,0,40,38.0,0
32,4.0,132601,9.0,13,2.0,10.0,0.0,0.0,1.0,0,0,50,38.0,0
37,4.0,126708,11.0,9,2.0,1.0,5.0,0.0,0.0,0,0,60,38.0,0
22,0.0,139883,15.0,10,4.0,0.0,3.0,0.0,1.0,0,0,40,38.0,0
49,4.0,112761,11.0,9,0.0,6.0,1.0,0.0,0.0,0,0,40,38.0,0
60,6.0,121076,10.0,16,0.0,12.0,1.0,0.0,1.0,0,0,20,38.0,0
27,4.0,161155,0.0,6,4.0,8.0,1.0,0.0,1.0,0,0,40,38.0,0
33,4.0,111746,7.0,12,2.0,3.0,0.0,0.0,1.0,0,0,45,31.0,0
45,2.0,164427,9.0,13,0.0,10.0,4.0,0.0,0.0,0,0,40,38.0,0
29,4.0,168526,11.0,9,0.0,12.0,4.0,0.0,0.0,0,0,25,38.0,0
62,2.0,114060,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,40,38.0,0
62,5.0,153891,8.0,11,2.0,4.0,0.0,0.0,1.0,3137,0,40,38.0,0
43,4.0,112131,15.0,10,2.0,4.0,0.0,0.0,1.0,0,0,40,38.0,0
49,4.0,141944,8.0,11,3.0,6.0,4.0,0.0,1.0,0,1380,42,38.0,0
32,4.0,160458,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,50,38.0,0
41,2.0,129793,11.0,9,4.0,8.0,3.0,0.0,1.0,0,0,30,38.0,0
26,4.0,108658,11.0,9,4.0,7.0,1.0,0.0,1.0,0,0,40,38.0,0
40,4.0,168113,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
29,4.0,133937,10.0,16,4.0,10.0,3.0,0.0,1.0,0,0,40,38.0,0
27,4.0,163862,11.0,9,4.0,14.0,1.0,0.0,1.0,0,0,40,38.0,0
62,4.0,159822,11.0,9,2.0,4.0,0.0,0.0,1.0,0,0,50,38.0,0
69,4.0,136218,1.0,7,4.0,7.0,1.0,0.0,0.0,0,0,40,38.0,0
34,4.0,148291,11.0,9,2.0,13.0,5.0,0.0,0.0,0,0,32,38.0,0
30,4.0,152453,1.0,7,2.0,8.0,0.0,0.0,1.0,0,0,40,25.0,0
17,0.0,143331,1.0,7,4.0,0.0,3.0,0.0,1.0,0,0,40,38.0,0
28,4.0,114053,9.0,13,4.0,14.0,1.0,0.0,1.0,0,0,55,38.0,0
31,4.0,122347,11.0,9,5.0,6.0,1.0,0.0,1.0,0,0,40,38.0,0
30,4.0,127875,1.0,7,4.0,12.0,4.0,0.0,0.0,0,0,8,38.0,0
42,4.0,167534,11.0,9,2.0,6.0,0.0,0.0,1.0,5013,0,35,38.0,0
27,7.0,152560,14.0,15,2.0,10.0,0.0,0.0,1.0,0,0,60,38.0,0
29,6.0,110663,11.0,9,5.0,3.0,1.0,0.0,1.0,0,0,35,38.0,0
32,4.0,147118,11.0,9,0.0,8.0,1.0,0.0,0.0,0,0,40,38.0,0
27,4.0,158156,10.0,16,4.0,10.0,1.0,0.0,0.0,0,0,70,38.0,0
37,4.0,169469,15.0,10,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
18,0.0,165532,2.0,8,4.0,0.0,3.0,0.0,1.0,0,0,25,38.0,0
49,4.0,139571,11.0,9,2.0,1.0,0.0,0.0,1.0,4064,0,40,38.0,0
30,4.0,143766,15.0,10,4.0,3.0,1.0,0.0,1.0,0,0,40,38.0,0
39,7.0,112812,11.0,9,2.0,11.0,2.0,0.0,0.0,0,0,40,38.0,0
57,4.0,111385,0.0,6,4.0,8.0,1.0,0.0,1.0,0,0,40,38.0,0
23,6.0,145744,11.0,9,2.0,5.0,0.0,0.0,1.0,0,0,40,38.0,0
18,4.0,156764,1.0,7,4.0,8.0,3.0,0.0,1.0,0,0,40,38.0,0
49,2.0,126754,11.0,9,2.0,8.0,2.0,0.0,1.0,0,0,40,22.0,0
44,4.0,166740,8.0,11,2.0,13.0,0.0,0.0,1.0,0,0,45,38.0,0
25,4.0,143062,9.0,13,4.0,8.0,3.0,0.0,0.0,2463,0,30,38.0,0
42,0.0,137390,11.0,9,2.0,0.0,0.0,0.0,1.0,0,0,40,38.0,0
24,4.0,109456,9.0,13,4.0,12.0,3.0,0.0,1.0,0,0,25,38.0,0
23,4.0,117789,9.0,13,4.0,1.0,3.0,0.0,0.0,0,0,40,38.0,0
24,4.0,164574,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,40,38.0,0
49,4.0,136455,9.0,13,4.0,10.0,1.0,0.0,0.0,0,0,45,38.0,0
44,7.0,165745,11.0,9,0.0,1.0,4.0,0.0,0.0,0,0,38,38.0,0
17,4.0,169658,0.0,6,4.0,8.0,3.0,0.0,0.0,0,0,21,38.0,0
27,4.0,109881,9.0,13,4.0,8.0,3.0,0.0,0.0,0,0,20,38.0,0
47,4.0,125892,11.0,9,0.0,6.0,1.0,0.0,1.0,0,0,40,38.0,0
50,6.0,114117,11.0,9,2.0,4.0,0.0,0.0,1.0,0,0,32,38.0,0
66,7.0,148380,11.0,9,2.0,7.0,5.0,0.0,0.0,1424,0,10,38.0,0
70,4.0,142851,6.0,5,2.0,4.0,0.0,0.0,1.0,0,0,18,38.0,0
21,4.0,160968,15.0,10,4.0,6.0,3.0,0.0,1.0,0,0,40,38.0,0
20,4.0,123007,11.0,9,4.0,1.0,2.0,0.0,1.0,0,2001,30,38.0,0
48,6.0,138069,4.0,3,2.0,3.0,0.0,0.0,1.0,0,2042,50,38.0,0
58,0.0,158611,11.0,9,2.0,0.0,0.0,0.0,1.0,0,0,50,38.0,0
20,4.0,130959,15.0,10,4.0,8.0,3.0,0.0,1.0,0,0,20,38.0,0
37,4.0,115429,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,25,38.0,0
38,7.0,143774,15.0,10,5.0,4.0,1.0,0.0,0.0,0,0,45,38.0,0
70,0.0,167358,6.0,5,6.0,0.0,4.0,0.0,0.0,1111,0,15,38.0,0
40,1.0,134638,9.0,13,2.0,4.0,0.0,0.0,1.0,0,0,39,38.0,0
27,4.0,111900,15.0,10,4.0,10.0,1.0,0.0,1.0,0,0,40,38.0,0
48,1.0,110457,15.0,10,0.0,4.0,1.0,0.0,1.0,0,0,40,38.0,0
31,4.0,142921,9.0,13,4.0,13.0,1.0,0.0,0.0,0,0,40,38.0,0
31,4.0,125457,11.0,9,4.0,3.0,1.0,0.0,1.0,0,0,45,38.0,0
47,1.0,131726,15.0,10,0.0,1.0,1.0,0.0,1.0,0,1876,40,38.0,0
34,4.0,136721,11.0,9,0.0,4.0,1.0,0.0,0.0,0,0,40,38.0,0
66,0.0,149422,5.0,4,4.0,0.0,1.0,0.0,1.0,0,0,4,38.0,0
26,4.0,167350,11.0,9,4.0,8.0,2.0,0.0,1.0,0,0,30,38.0,0
54,2.0,113000,15.0,10,2.0,5.0,0.0,0.0,1.0,0,0,40,38.0,0
41,4.0,143069,10.0,16,2.0,10.0,0.0,0.0,1.0,0,0,60,38.0,0
36,2.0,110866,9.0,13,4.0,10.0,1.0,0.0,1.0,0,0,50,38.0,0
21,4.0,163870,15.0,10,4.0,6.0,3.0,0.0,1.0,0,0,30,38.0,0
45,4.0,167159,9.0,13,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
40,4.0,144995,8.0,11,2.0,13.0,0.0,0.0,1.0,4386,0,40,38.0,0
41,4.0,125831,11.0,9,2.0,3.0,0.0,0.0,1.0,0,2051,60,38.0,0
35,5.0,165799,9.0,13,2.0,12.0,0.0,0.0,1.0,0,0,50,38.0,0
44,4.0,111502,11.0,9,2.0,12.0,5.0,0.0,0.0,0,0,40,38.0,0
27,6.0,147452,0.0,6,4.0,12.0,3.0,0.0,0.0,0,0,48,38.0,0
24,4.0,126822,11.0,9,4.0,1.0,4.0,0.0,0.0,0,0,45,38.0,0
20,6.0,115085,15.0,10,4.0,5.0,3.0,0.0,1.0,0,0,40,38.0,0
26,4.0,112847,8.0,11,4.0,13.0,3.0,0.0,1.0,0,0,40,38.0,0
80,4.0,138050,11.0,9,3.0,7.0,1.0,0.0,0.0,0,0,16,38.0,0
59,4.0,109567,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,55,38.0,0
23,4.0,145111,11.0,9,4.0,14.0,4.0,0.0,1.0,0,0,50,38.0,0
21,0.0,132053,15.0,10,4.0,0.0,3.0,0.0,0.0,0,0,35,38.0,0
33,2.0,120064,9.0,13,4.0,10.0,1.0,0.0,0.0,0,0,45,38.0,0
50,4.0,131819,11.0,9,0.0,8.0,1.0,0.0,0.0,0,0,40,38.0,0
34,2.0,119411,11.0,9,0.0,11.0,4.0,0.0,1.0,0,0,40,31.0,0
22,4.0,151790,15.0,10,2.0,12.0,5.0,0.0,0.0,0,0,30,11.0,0
55,4.0,116442,11.0,9,4.0,12.0,1.0,0.0,1.0,0,0,38,38.0,0
31,1.0,165949,9.0,13,4.0,4.0,1.0,0.0,0.0,0,0,45,38.0,0
43,7.0,146908,15.0,10,2.0,3.0,0.0,0.0,1.0,0,0,40,0.0,0
26,4.0,142152,1.0,7,4.0,14.0,1.0,0.0,0.0,0,0,35,38.0,0
21,0.0,149704,11.0,9,4.0,0.0,1.0,0.0,0.0,1055,0,40,38.0,0
22,4.0,152328,15.0,10,4.0,5.0,1.0,0.0,1.0,0,0,40,38.0,0
40,4.0,120277,9.0,13,2.0,12.0,0.0,0.0,1.0,0,0,45,38.0,0
61,4.0,128831,11.0,9,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
43,4.0,154538,7.0,12,0.0,3.0,1.0,0.0,1.0,0,0,40,38.0,0
34,6.0,114074,8.0,11,6.0,4.0,4.0,0.0,0.0,0,0,40,38.0,0
52,4.0,134190,0.0,6,0.0,14.0,4.0,0.0,1.0,0,0,40,38.0,0
20,4.0,138768,11.0,9,4.0,14.0,3.0,0.0,1.0,0,0,30,38.0,0
29,4.0,127892,9.0,13,2.0,12.0,0.0,0.0,1.0,0,0,45,38.0,0
22,4.0,137510,15.0,10,4.0,1.0,3.0,0.0,1.0,0,0,40,38.0,0
31,4.0,145924,15.0,10,0.0,7.0,4.0,0.0,0.0,0,0,35,38.0,0
64,4.0,169871,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,45,38.0,0
37,4.0,159383,11.0,9,0.0,12.0,4.0,0.0,0.0,0,0,40,38.0,0
48,4.0,167159,8.0,11,4.0,1.0,4.0,0.0,1.0,0,0,40,38.0,0
29,4.0,154411,8.0,11,4.0,13.0,3.0,0.0,1.0,0,0,40,38.0,0
30,4.0,129227,11.0,9,6.0,1.0,1.0,0.0,0.0,0,0,40,38.0,0
32,4.0,110331,11.0,9,2.0,4.0,0.0,0.0,1.0,0,1672,60,38.0,0
24,5.0,165474,9.0,13,4.0,12.0,3.0,0.0,1.0,0,0,40,38.0,0
24,2.0,134181,12.0,14,4.0,10.0,3.0,0.0,0.0,0,0,40,38.0,0
35,4.0,135162,15.0,10,2.0,3.0,0.0,0.0,1.0,0,0,50,38.0,0
39,4.0,138192,9.0,13,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
31,4.0,118966,11.0,9,4.0,3.0,3.0,0.0,1.0,0,0,18,38.0,0
34,4.0,111567,11.0,9,4.0,14.0,3.0,0.0,1.0,0,0,40,38.0,0
34,2.0,166545,11.0,9,4.0,1.0,3.0,0.0,0.0,0,0,40,38.0,0
37,4.0,144005,15.0,10,4.0,12.0,1.0,0.0,1.0,0,0,50,38.0,0
50,4.0,158948,11.0,9,2.0,10.0,0.0,0.0,1.0,0,0,84,38.0,0
28,5.0,142712,15.0,10,2.0,4.0,0.0,0.0,1.0,0,0,70,38.0,0
18,4.0,120599,1.0,7,4.0,1.0,4.0,0.0,1.0,0,0,40,38.0,0
24,4.0,121313,15.0,10,4.0,14.0,3.0,0.0,1.0,0,0,50,38.0,0
28,4.0,132326,11.0,9,4.0,1.0,3.0,0.0,1.0,0,0,40,38.0,0
37,7.0,142282,11.0,9,0.0,8.0,1.0,0.0,0.0,0,0,16,38.0,0
63,0.0,149698,15.0,10,2.0,0.0,0.0,0.0,1.0,0,0,15,38.0,0
33,4.0,123833,6.0,5,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
33,5.0,155781,15.0,10,2.0,3.0,0.0,0.0,1.0,0,0,60,0.0,0
28,4.0,109165,11.0,9,2.0,13.0,0.0,0.0,1.0,0,0,40,38.0,0
35,4.0,152375,11.0,9,4.0,12.0,1.0,0.0,1.0,0,0,45,38.0,0
61,4.0,131117,11.0,9,6.0,14.0,4.0,0.0,0.0,0,0,40,32.0,0
37,6.0,168496,11.0,9,0.0,6.0,3.0,0.0,1.0,0,0,10,38.0,0
63,4.0,165775,11.0,9,2.0,12.0,0.0,0.0,1.0,0,0,21,38.0,0
81,6.0,136063,11.0,9,2.0,4.0,0.0,0.0,1.0,0,0,30,38.0,0
48,4.0,149640,15.0,10,5.0,3.0,4.0,0.0,1.0,1506,0,40,16.0,0
28,2.0,134771,9.0,13,4.0,10.0,3.0,0.0,0.0,0,0,55,38.0,0
34,4.0,162544,5.0,4,4.0,9.0,3.0,0.0,0.0,0,0,30,38.0,0
42,4.0,162003,11.0,9,0.0,7.0,1.0,0.0,1.0,0,0,55,38.0,0
33,4.0,143653,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,30,38.0,0
23,4.0,127876,15.0,10,4.0,8.0,1.0,0.0,0.0,0,0,35,38.0,0
48,0.0,117054,4.0,3,0.0,0.0,1.0,0.0,1.0,0,0,99,38.0,0
51,4.0,133461,15.0,10,2.0,4.0,0.0,0.0,1.0,0,0,40,38.0,0
25,4.0,150062,15.0,10,2.0,10.0,0.0,0.0,1.0,0,0,45,38.0,0
32,4.0,169240,11.0,9,0.0,7.0,1.0,0.0,0.0,0,0,38,38.0,0
46,4.0,153536,2.0,8,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
74,2.0,168782,5.0,4,6.0,8.0,1.0,0.0,0.0,0,0,35,38.0,0
28,4.0,161538,9.0,13,4.0,13.0,1.0,0.0,0.0,0,0,35,38.0,0
64,1.0,168854,15.0,10,6.0,4.0,1.0,0.0,0.0,0,0,25,38.0,0
34,4.0,159929,11.0,9,0.0,6.0,3.0,0.0,1.0,0,0,40,38.0,0
49,4.0,123207,11.0,9,4.0,1.0,1.0,0.0,0.0,0,0,44,38.0,0
30,7.0,157990,11.0,9,2.0,1.0,0.0,0.0,1.0,0,0,40,38.0,0
18,4.0,120243,1.0,7,4.0,6.0,3.0,0.0,1.0,0,0,17,38.0,0
60,6.0,154474,11.0,9,4.0,5.0,4.0,0.0,1.0,0,0,42,38.0,0
51,4.0,152652,1.0,7,0.0,7.0,1.0,0.0,1.0,0,0,40,38.0,0
44,4.0,126701,11.0,9,0.0,3.0,4.0,0.0,1.0,0,0,40,38.0,0
49,6.0,166003,11.0,9,2.0,8.0,0.0,0.0,1.0,0,0,40,38.0,0
51,4.0,122159,15.0,10,6.0,10.0,1.0,0.0,0.0,3325,0,40,38.0,0
50,6.0,124793,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,30,38.0,0
20,0.0,125905,15.0,10,4.0,0.0,3.0,0.0,1.0,0,0,30,38.0,0
46,4.0,165346,12.0,14,0.0,4.0,4.0,0.0,0.0,0,0,8,38.0,0
20,4.0,148294,15.0,10,4.0,8.0,3.0,0.0,1.0,0,0,40,38.0,0
23,2.0,115244,9.0,13,4.0,10.0,3.0,0.0,0.0,0,0,60,38.0,0
